"Row.Id","ID","Mating","RIX_ID","Cohort","Sex","Virus","Date_Infected","Timepoint","D0","D7","D7pct","is.baric","uniqueid","dam","sire","ccdam","ccsire","ccrix"
1194,"5489x16557_0075","5489x16557",75,"3_14iii",FALSE,"flu","2014-03-17",15,27.55,23.6,85.6624319419238,0,"5489x16557_75_3_14iii",5489,16557,"CC009","CC040","CC009xCC040"
1195,"5489x16557_0077","5489x16557",77,"3_14iii",FALSE,"flu","2014-03-17",15,27.5,23.5,85.4545454545455,0,"5489x16557_77_3_14iii",5489,16557,"CC009","CC040","CC009xCC040"
1196,"5489x16557_0078","5489x16557",78,"3_14iii",FALSE,"flu","2014-03-17",15,32.5,29.6,91.0769230769231,0,"5489x16557_78_3_14iii",5489,16557,"CC009","CC040","CC009xCC040"
2484,"8002x3032_0009","8002x3032",9,"8_13viii",FALSE,"flu","2013-08-19",45,23.25,20.25,87.0967741935484,0,"8002x3032_9_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2466,"8002x3032_0013","8002x3032",13,"8_13viii",FALSE,"flu","2013-08-19",15,25.1,20.1,80.0796812749004,0,"8002x3032_13_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2467,"8002x3032_0014","8002x3032",14,"8_13viii",FALSE,"flu","2013-08-19",15,25.9,22.3,86.1003861003861,0,"8002x3032_14_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2485,"8002x3032_0021","8002x3032",21,"8_13viii",FALSE,"flu","2013-08-19",45,28.8,26.2,90.9722222222222,0,"8002x3032_21_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2486,"8002x3032_0022","8002x3032",22,"8_13viii",FALSE,"flu","2013-08-19",45,25.8,23.4,90.6976744186046,0,"8002x3032_22_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2468,"8002x3032_0039","8002x3032",39,"8_13viii",FALSE,"flu","2013-08-19",15,24.6,21.9,89.0243902439024,0,"8002x3032_39_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2487,"8002x3032_0082","8002x3032",82,"8_13viii",FALSE,"flu","2013-08-19",7,23.9,21.15,88.4937238493724,0,"8002x3032_82_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2488,"8002x3032_0089","8002x3032",89,"8_13viii",FALSE,"flu","2013-08-19",7,21.65,17.45,80.6004618937644,0,"8002x3032_89_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2489,"8002x3032_0090","8002x3032",90,"8_13viii",FALSE,"flu","2013-08-19",7,22.85,18.75,82.0568927789934,0,"8002x3032_90_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2463,"8002x3032_0095","8002x3032",95,"8_13viii",FALSE,"flu","2013-08-19",10,24.65,23.4,94.9290060851927,0,"8002x3032_95_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2464,"8002x3032_0100","8002x3032",100,"8_13viii",FALSE,"flu","2013-08-19",10,25.8,22.95,88.953488372093,0,"8002x3032_100_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2465,"8002x3032_0101","8002x3032",101,"8_13viii",FALSE,"flu","2013-08-19",10,25.2,24.45,97.0238095238095,0,"8002x3032_101_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
